Title,Authors,,,
(1) Policy Search with Non-uniform State Representations for Environmental Sampling,Sandeep Manjanna (McGill University); Herke van Hoof (University of Amsterdam); Gregory Dudek (McGill University),,,
(2) Modelling GxE with historical weather information improves genomic prediction in new environments,Jussi Gillberg (Aalto University); Pekka Marttinen (Aalto University); Hiroshi Mamitsuka (Kyoto University); Samuel Kaski (Aalto University),,,
(3) Machine Learning empowered Occupancy Sensing for Smart Buildings,Han Zou (UC Berkeley); Hari Prasanna Das (UC Berkeley ); Jianfei Yang (Nanyang Technological University); Yuxun Zhou (UC Berkeley); Costas Spanos (UC Berkeley),,,
(4) Focus and track: pixel-wise spatio-temporal hurricane tracking,Sookyung Kim (Lawrence Livermore National Laboratory); Sunghyun Park (Korea University); Sunghyo Chung (Korea University); Yunsung Lee (Korea University); Hyojin Kim (LLNL); Joonseok Lee (Google Research); Jaegul Choo (Korea University); Mr Prabhat (Lawrence Berkeley National Laboratory),,,
(5) Recovering the parameters underlying the Lorenz-96 chaotic dynamics,Soukayna Mouatadid (University of Toronto); Pierre Gentine (Columbia University); Wei Yu (University of Toronto); Steve Easterbrook (University of Toronto),,,
"(6) Using Bayesian Optimization to Improve Solar Panel Performance by Developing Antireflective, Superomniphobic Glass",Sajad Haghanifar (University of Pittsburgh); Bolong Cheng (SigOpt); Mike Mccourt (SigOpt); Paul Leu (University of Pittsburgh),,,
(7) A quantum mechanical approach for data assimilation in climate dynamics,"Dimitrios Giannakis (Courant Institute of Mathematical Sciences, New York University); Joanna Slawinska (University of Wisconsin-Milwaukee); Abbas Ourmazd (University of Wisconsin-Milwaukee)",,,
(8) Data-driven Chance Constrained Programming based Electric Vehicle Penetration Analysis,Di Wu (McGill); Tracy Cui (Google NYC); Doina Precup (McGill University); Benoit Boulet (McGill),,,
(9) Machine Learning for AC Optimal Power Flow Honorable Mention,Neel Guha (Carnegie Mellon University); Zhecheng Wang (Stanford University); Arun Majumdar (Stanford University),,,
(10) Targeted Meta-Learning for Critical Incident Detection in Weather Data,Mohammad Mahdi Kamani (The Pennsylvania State University); Sadegh Farhang (Pennsylvania State University); Mehrdad Mahdavi (Penn State); James Z Wang (The Pennsylvania State University),,,
(11) ClimateNet: Bringing the power of Deep Learning to weather and climate sciences via open datasets and architectures,Karthik Kashinath (Lawrence Berkeley National Laboratory); Mayur Mudigonda (UC Berkeley); Kevin Yang (UC Berkeley); Jiayi Chen (UC Berkeley); Annette Greiner (Lawrence Berkeley National Laboratory); Mr Prabhat (Lawrence Berkeley National Laboratory),,,
(12) Improving Subseasonal Forecasting in the Western U.S. with Machine Learning,Paulo Orenstein (Stanford); Jessica Hwang (Stanford); Judah Cohen (AER); Karl Pfeiffer (AER); Lester Mackey (Microsoft Research New England),,,
